Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
60.234.1.1,4/11/2019,684287,2023,176,155,257,229,229,977
61.1.96.69,4/11/2019,684287,5343,782,469,437,466,537,2652
61.1.96.71,4/11/2019,684287,8479,1252,792,672,682,837,4244
61.8.0.113,4/12/2019,684287,42573,5168,9091,3920,3496,4189,16709
61.9.133.193,4/12/2019,684287,5584,1577,1482,984,305,250,986
61.9.134.49,4/12/2019,684287,5539,1578,1431,974,319,225,1012
61.9.188.33,4/11/2019,684287,4088,408,895,891,638,282,974
61.9.194.49,4/12/2019,684287,5622,1792,1721,608,280,226,995
61.9.195.193,4/12/2019,684287,5414,1651,1619,666,294,234,950
61.9.207.1,4/10/2019,684287,3756,183,979,944,460,225,965
61.9.211.1,4/12/2019,684287,5694,1071,1207,1558,571,224,1063
61.9.211.33,4/12/2019,684287,5477,961,1186,1541,559,254,976
61.9.226.33,4/12/2019,684287,5650,1139,1127,1442,607,298,1037
61.9.242.33,4/12/2019,684287,5629,399,568,2374,529,733,1026
61.10.0.130,4/10/2019,684287,31860,1831,4385,7813,6922,4371,6538
61.10.1.130,4/10/2019,684287,31917,2020,4467,8038,6750,4283,6359
61.10.1.177,4/10/2019,684287,6420,339,561,1277,1323,893,2027
61.19.251.245,4/10/2019,684287,1875,105,123,195,214,237,1001
61.19.255.134,4/11/2019,684287,12587,726,1619,1770,2000,2067,4405
61.28.10.68,4/11/2019,684287,3185,115,187,390,377,372,1744
61.31.233.1,4/11/2019,684287,46344,2327,3928,10324,8944,7354,13467
61.56.211.185,4/10/2019,684287,52036,2040,4962,12214,9362,7499,15959
61.60.224.5,4/11/2019,684287,45182,1233,4050,10039,8543,6323,14994
61.63.0.66,4/12/2019,684287,76872,3718,7264,19026,13338,9310,24216
61.74.63.1,4/11/2019,684287,1925,89,155,241,228,247,965
61.122.116.147,4/11/2019,684287,33834,2101,2166,3678,5045,5774,15070
61.122.116.179,4/11/2019,684287,33923,2010,2186,3733,5082,5766,15146
61.128.97.73,4/11/2019,684287,1857,91,147,233,218,230,938
61.128.97.74,4/10/2019,684287,1874,84,150,211,240,232,957
61.128.99.133,4/8/2019,684287,1912,97,133,243,247,239,953
61.128.99.134,4/11/2019,684287,1844,85,147,232,228,216,936
61.128.114.133,4/11/2019,684287,2165,155,137,245,282,279,1067
61.128.114.166,4/10/2019,684287,2147,155,133,253,245,259,1102
61.128.128.66,4/11/2019,684287,1915,91,159,202,242,243,978
61.128.128.67,4/10/2019,684287,1906,109,123,238,258,226,952
61.128.128.68,4/10/2019,684287,1922,135,124,226,244,233,960
61.128.192.4,4/12/2019,684287,1839,87,120,217,224,262,929
61.128.192.68,4/11/2019,684287,1956,131,126,275,227,232,965
61.129.64.3,4/10/2019,684287,1790,79,130,225,213,228,915
61.129.73.196,4/10/2019,684287,1886,92,131,246,243,230,944
61.134.1.4,4/10/2019,684287,2019,165,148,238,246,233,989
61.135.159.46,4/10/2019,684287,26376,1449,1760,3003,3811,3886,12467
61.139.2.69,4/11/2019,684287,13105,451,793,1717,1987,2142,6015
61.139.39.73,4/10/2019,684287,11983,273,532,1401,1568,2122,6087
61.139.44.68,4/12/2019,684287,11413,276,565,1381,1656,1807,5728
61.139.54.66,4/10/2019,684287,12998,292,673,1617,1799,2123,6494
61.147.37.1,4/11/2019,684287,2223,320,169,267,241,250,976
61.152.82.18,4/10/2019,684287,6870,599,1002,760,698,625,3186
61.163.252.30,4/8/2019,684287,9250,254,490,998,1107,1163,5238
61.166.150.123,4/12/2019,684287,21280,431,1047,3578,3767,2965,9492
61.177.7.1,4/11/2019,684287,2267,334,181,253,264,253,982
61.178.40.8,4/11/2019,684287,9207,177,476,922,1076,1196,5360
61.187.91.18,4/10/2019,684287,8895,313,734,1441,1197,1235,3975
61.187.98.3,4/10/2019,684287,1748,81,138,228,220,207,874
61.187.98.6,4/10/2019,684287,1793,77,130,218,224,232,912
61.187.191.3,4/11/2019,684287,8333,279,590,1263,1174,1122,3905
61.195.194.26,4/10/2019,684287,1714,85,112,229,216,208,864
61.195.195.153,4/11/2019,684287,1688,84,125,226,199,224,830
61.218.2.2,4/11/2019,684287,1813,84,136,186,252,241,914
61.220.4.22,4/10/2019,684287,23405,522,1242,2472,3871,4358,10940
61.220.4.27,4/10/2019,684287,23536,489,1158,2510,3902,4402,11075
61.220.4.40,4/8/2019,684287,23592,526,1216,2605,3822,4451,10972
61.220.4.73,4/10/2019,684287,23470,486,1198,2527,3839,4393,11027
61.220.4.118,4/10/2019,684287,23035,481,1166,2513,3772,4308,10795
61.232.202.158,4/10/2019,684287,1771,76,138,236,201,206,914
61.234.254.5,4/10/2019,684287,13637,287,733,1655,1998,2449,6515
61.234.254.6,4/10/2019,684287,14200,289,735,1779,2077,2541,6779
61.235.70.98,4/11/2019,684287,2511,185,210,346,328,308,1134
61.236.93.33,4/10/2019,684287,19983,250,617,1623,2263,2702,12528
61.236.93.34,4/8/2019,684287,18403,208,565,1523,2111,2630,11366
61.247.0.8,4/10/2019,684287,6373,1491,1143,1116,531,517,1575
61.247.202.89,4/10/2019,684287,5217,142,235,434,530,658,3218
62.0.192.20,4/10/2019,684287,6341,469,215,440,540,601,4076
62.2.14.102,4/10/2019,684287,9783,232,570,1039,1000,1202,5740
62.2.17.60,4/11/2019,684287,2328,543,199,247,219,244,876
62.2.17.61,4/10/2019,684287,2326,547,165,233,243,250,888
62.2.24.158,4/12/2019,684287,2365,536,177,219,245,249,939
62.2.24.162,4/11/2019,684287,2338,546,187,228,240,236,901
62.3.32.16,4/11/2019,684287,63543,2410,7269,14312,11997,7901,19654
62.3.32.17,4/11/2019,684287,149926,5895,18954,35978,28933,16855,43311
62.4.16.70,4/10/2019,684287,1762,105,123,211,208,223,892
62.4.17.69,4/11/2019,684287,1748,83,131,218,216,190,910
62.6.40.162,4/12/2019,684287,40586,2248,3803,8542,7635,3931,14427
62.6.40.178,4/12/2019,684287,39467,2424,3513,8249,7617,3818,13846
62.8.96.38,4/11/2019,684287,190194,3470,13565,40589,40609,32262,59699
62.12.130.66,4/5/2019,684287,16095,588,732,1575,1930,1977,9293
62.24.128.17,4/10/2019,684287,5308,1590,274,960,757,516,1211
62.24.128.18,4/11/2019,684287,5499,1684,285,983,848,536,1163
62.24.199.13,4/11/2019,684287,5537,1721,271,1008,839,496,1202
62.24.199.23,4/11/2019,684287,1807,131,133,211,213,243,876
62.31.64.39,4/11/2019,684287,1739,93,132,223,197,191,903
62.31.112.39,4/11/2019,684287,1770,89,129,230,200,229,893
62.31.144.39,4/8/2019,684287,1683,96,108,196,207,224,852
62.31.176.39,4/11/2019,684287,1762,89,117,194,238,228,896
62.32.46.100,4/11/2019,684287,49207,327,1991,5028,8489,8877,24495
62.33.189.250,4/8/2019,684287,2966,96,174,340,311,338,1707
62.37.236.200,4/11/2019,684287,16652,1381,983,962,1133,1465,10728
62.37.237.140,4/12/2019,684287,2064,260,203,267,203,224,907
62.39.164.12,4/11/2019,684287,8870,160,366,991,704,813,5836
62.40.32.33,4/12/2019,684287,102307,1161,1531,4930,19182,32079,43424
62.40.32.34,4/12/2019,684287,100913,1102,1416,4804,17821,31528,44242
62.41.26.253,4/11/2019,684287,1647,62,133,196,211,216,829
62.42.230.24,4/11/2019,684287,2280,614,170,232,209,207,848
62.42.230.135,4/7/2019,684287,1753,75,116,203,224,214,921
62.42.230.136,4/12/2019,684287,1757,98,125,223,236,209,866
62.53.142.228,4/10/2019,684287,2648,238,271,453,351,339,996
62.53.180.102,4/12/2019,684287,3367,198,582,750,415,340,1082
62.53.206.3,4/10/2019,684287,1776,102,135,238,229,220,852
62.53.220.110,4/4/2019,684287,3357,326,491,658,421,346,1115
